ID,File Name,Project Name,User story,GPT Generated seq in PlantUML format,QE1(Our Tool),QE2 (Our Tool),QE3 (Our Tool),QE4 (Our Tool),QE5 (Our Tool),QE1 (GPT),QE2 (GPT),QE3 (GPT),QE4 (GPT),QE5 (GPT)
11,g27-culrepo.txt,culrepo,"As a patron, I want to know previous name(s) and publication date range (first version-last version) of reports/datasets, so that I can know what historical versions are available and how current more recent version is.","@startuml
actor Patron
actor System
database ReportsDatabase

Patron -> System: Log In
System -> System: Authenticate Patron
System -> ReportsDatabase: Retrieve Report/Dataset History
ReportsDatabase --> System: Return History Information
System -> Patron: Display Report/Dataset History

@enduml
",y,10,8,6,y,y,10,10,10,y
12,g25-duraspace.txt,duraspace,"As a user, I want to scope my searches for collections, objects, or object components to a specific language.","@startuml
actor User
actor System
database SearchDatabase

User -> System: Log In
System -> System: Authenticate User
System -> User: Provide Access

activate User

User -> System: Set Search Language
System -> System: Save Language Preference

loop until search is complete
    User -> System: Enter Search Query
    System -> SearchDatabase: Search in Selected Language
    SearchDatabase --> System: Return Search Results
    System -> User: Display Search Results
end

deactivate User

@enduml
",y,10,6,6,y,y,9,8,8,n
13,g19-alfred.txt,alfred,"As a MedicalCaregiver, I want to locate the ALFRED user.","@startuml
actor MedicalCaregiver
actor System
actor ALFRED

MedicalCaregiver -> System: Log In
System -> System: Authenticate Medical Caregiver
System -> ALFRED: Locate User
ALFRED --> System: Return User Location
System -> MedicalCaregiver: Display User Location

@enduml",y,8,8,6,n,y,9,9,9,y
14,g27-culrepo.txt,culrepo,"As a library staff member, I want to be able to assign an item to more than one collection.","@startuml
actor LibraryStaff
actor System
database LibraryDatabase

LibraryStaff -> System: Log In
System -> System: Authenticate LibraryStaff
System -> LibraryStaff: Provide Access

activate LibraryStaff

LibraryStaff -> System: Select Item to Assign
System -> LibraryDatabase: Retrieve Item Details
LibraryDatabase --> System: Return Item Details
System -> LibraryStaff: Display Item Details

LibraryStaff -> System: Select Collections
System -> System: Retrieve Available Collections
System -> LibraryStaff: Display Available Collections

loop until assignment complete
    LibraryStaff -> System: Assign Item to Collection
    System -> LibraryDatabase: Update Collection Assignment
    LibraryDatabase --> System: Confirmation
    System -> LibraryStaff: Display Assignment Confirmation
end

deactivate LibraryStaff

@enduml
",y,8,5,5,n,y,10,8,9,y
15,g25-duraspace.txt,duraspace,"As a repository manager, I want to indicate any name that is pertinent to the component.","@startuml
actor RepositoryManager
actor System
database RepositoryDatabase

RepositoryManager -> System: Log In
System -> System: Authenticate RepositoryManager
System -> RepositoryManager: Provide Access

activate RepositoryManager

RepositoryManager -> System: Select Component
System -> RepositoryDatabase: Retrieve Component Details
RepositoryDatabase --> System: Return Component Details
System -> RepositoryManager: Display Component Details

RepositoryManager -> System: Add Pertinent Name
System -> RepositoryDatabase: Update Component Name
RepositoryDatabase --> System: Confirmation
System -> RepositoryManager: Display Update Confirmation

deactivate RepositoryManager

@enduml
",y,8,6,6,n,y,10,9,9,y
16,User Stories for Library Management System.txt,Library Management System,"As a library member, I want to keep track of books from an app so that I can know if it is taken or in the library before I go.","@startuml
actor LibraryMember
actor System
database LibraryCatalog

LibraryMember -> System: Log In
System -> System: Authenticate LibraryMember
System -> LibraryMember: Provide Access

activate LibraryMember

LibraryMember -> System: Search for Book
System -> LibraryCatalog: Retrieve Book Information
LibraryCatalog --> System: Return Book Information
System -> LibraryMember: Display Book Information

LibraryMember -> System: Check Book Availability
System -> LibraryCatalog: Retrieve Availability Status
LibraryCatalog --> System: Return Availability Status
System -> LibraryMember: Display Availability Status

deactivate LibraryMember

@enduml
",y,10,9,7,y,y,9,8,7,n
17,User Stories for Restaurant Management System.txt,Restaurant Management System,"As a restaurant employee, I want to receive a notification message when the customer places an order.","@startuml
actor Customer
actor RestaurantEmployee
actor System

Customer -> System: Place Order
System -> RestaurantEmployee: Notify New Order

activate RestaurantEmployee

RestaurantEmployee -> System: Acknowledge Notification
System -> Customer: Order Acknowledgment

deactivate RestaurantEmployee

@enduml
",y,7,6,6,y,y,10,10,10,y
18,User Stories for Library Management System.txt,Library Management System,"As a student, I want to see the books that are currently unavailable so that I can arrange my reading plan.","@startuml
actor Student
actor System
database LibraryCatalog

Student -> System: Log In
System -> System: Authenticate Student
System -> Student: Provide Access

activate Student

Student -> System: View Unavailable Books
System -> LibraryCatalog: Retrieve Unavailable Books
LibraryCatalog --> System: Return Unavailable Books
System -> Student: Display Unavailable Books

deactivate Student

@enduml
",y,10,8,7,y,y,10,10,10,y
19,g27-culrepo.txt,culrepo,"As an asset manager, I want to know what the intellectual value of the asset is to the institution at the time of deposit, so that I obtain guidance in the evaluation of it for current value for the institution.","@startuml
actor AssetManager
actor System
database InstitutionalKnowledgeBase

AssetManager -> System: Log In
System -> System: Authenticate AssetManager
System -> AssetManager: Provide Access

activate AssetManager

AssetManager -> System: Deposit Asset
System -> AssetManager: Provide Metadata Entry
AssetManager -> System: Evaluate Intellectual Value
System -> InstitutionalKnowledgeBase: Store Intellectual Value
InstitutionalKnowledgeBase --> System: Confirmation
System -> AssetManager: Display Intellectual Value Confirmation

deactivate AssetManager

@enduml
",y,10,8,9,y,y,10,7,8,y
20,g25-duraspace.txt,duraspace,"As a DAMS manager, I want to know the agent(s) responsible for carrying out an event.","@startuml
actor DAMSManager
actor System
database EventLog

DAMSManager -> System: Log In
System -> System: Authenticate DAMSManager
System -> DAMSManager: Provide Access

activate DAMSManager

DAMSManager -> System: Search for Event
System -> EventLog: Retrieve Event Details
EventLog --> System: Return Event Details
System -> DAMSManager: Display Event Details

deactivate DAMSManager

@enduml
",y,8,6,6,n,y,10,10,10,y
21,g02-federalspending.txt,federalspending,"As a Developer I want to quickly access Broker application data, so that I can investigate issues.","@startuml
actor Developer
actor System
database BrokerApplicationDatabase

Developer -> System: Log In
System -> System: Authenticate Developer
System -> Developer: Provide Access

activate Developer

Developer -> System: Search for Data
System -> BrokerApplicationDatabase: Retrieve Data
BrokerApplicationDatabase --> System: Return Data
System -> Developer: Display Data

deactivate Developer

@enduml
",y,9,7,7,y,y,10,10,10,y
22,g02-federalspending.txt,federalspending,"As an agency user, I want to submit my data elements surrounded by quotation marks, so that Excel won't strip off leading and trailing zeroes.","@startuml
actor AgencyUser
actor Excel

AgencyUser -> Excel: Open Data File
Excel -> Excel: Format Data Elements\nwith Quotation Marks
Excel --> AgencyUser: Data File Ready

@enduml
",y,9,8,8,y,y,10,10,10,y
23,g19-alfred.txt,alfred,"As a developer, I want to have the ALFRED API to reduce the work to achieve my goals.","@startuml
actor Developer
actor ALFRED
database DataStorage

Developer -> ALFRED: API Request
ALFRED -> ALFRED: Process API Request
ALFRED -> DataStorage: Retrieve Data
DataStorage --> ALFRED: Return Data
ALFRED --> Developer: Provide API Response

@enduml
",y,8,6,5,n,y,9,10,10,y
24,g04-recycling.txt,recycling,"As an admin, I want to handle all users' activities, so that I can manage more efficiently.","@startuml
actor Admin
actor System
database UserActivityLog

Admin -> System: Log In
System -> System: Authenticate Admin
System -> Admin: Provide Access

activate Admin

Admin -> System: View Users' Activities
System -> UserActivityLog: Retrieve User Activities
UserActivityLog --> System: Return User Activities
System -> Admin: Display User Activities

deactivate Admin

@enduml
",y,8,7,6,y,y,10,10,10,y
25,g16-mis.txt,mis,"As a developer, I want to upgrade to Fedora 4 and migrate our applications and data.","@startuml
actor Developer
actor System
database LegacyData
database NewDatastore

Developer -> System: Plan Upgrade
System -> Developer: Provide Upgrade Plan
Developer -> System: Begin Upgrade Process

activate Developer

Developer -> System: Update Applications
System -> System: Stop Legacy Services
System -> System: Install Fedora 4
System -> System: Configure Fedora 4
System -> System: Start Fedora 4 Services
System -> System: Update Applications for Fedora 4

Developer -> LegacyData: Migrate Data
LegacyData --> NewDatastore: Export Data
NewDatastore --> Developer: Data Export Complete
Developer -> NewDatastore: Import Data
NewDatastore --> Developer: Data Import Complete

deactivate Developer

@enduml
",y,8,4,4,n,y,8,5,5,n
26,g04-recycling.txt,recycling,"As an employee, I want to access the route planning system during work, so that I can be guided through the neighbourhood.","@startuml
actor Employee
actor System
database RoutePlanningDatabase

Employee -> System: Log In
System -> System: Authenticate Employee
System -> Employee: Provide Access

activate Employee

Employee -> System: Request Route
System -> RoutePlanningDatabase: Retrieve Route Details
RoutePlanningDatabase --> System: Return Route Details
System -> Employee: Display Route Details

deactivate Employee

@enduml
",y,7,6,6,y,y,10,10,10,y
27,g28-zooniverse.txt,zooniverse,"As a Zooniverse admin, I want to detect important features such as areas of flooding, damage, temporary shelters, blocked roads etc in the satellite images.","@startuml
actor ZooniverseAdmin
actor System
database ImageDatabase

ZooniverseAdmin -> System: Log In
System -> System: Authenticate ZooniverseAdmin
System -> ZooniverseAdmin: Provide Access

activate ZooniverseAdmin

ZooniverseAdmin -> System: Upload Satellite Image
System -> System: Process Image
System -> ImageDatabase: Store Processed Image
ImageDatabase --> System: Image Processing Complete
System -> ZooniverseAdmin: Display Processed Image

deactivate ZooniverseAdmin

@enduml
",y,10,4,4,n,y,10,9,9,y
28,User Stories for Library Management System.txt,Library Management System,"As a librarian, I want to delete books from the library.","@startuml
actor Librarian
actor System
database LibraryCatalog

Librarian -> System: Log In
System -> System: Authenticate Librarian
System -> Librarian: Provide Access

activate Librarian

Librarian -> System: Search for Book to Delete
System -> LibraryCatalog: Retrieve Book Information
LibraryCatalog --> System: Return Book Information
System -> Librarian: Display Book Information

Librarian -> System: Delete Book
System -> LibraryCatalog: Remove Book Record
LibraryCatalog --> System: Confirmation
System -> Librarian: Display Deletion Confirmation

deactivate Librarian

@enduml
",y,10,10,10,y,y,8,6,6,n
29,g19-alfred.txt,alfred,"As an OlderPerson, I want to be able to see my training Performance.","@startuml
actor OlderPerson
actor System
database TrainingDatabase

OlderPerson -> System: Log In
System -> System: Authenticate OlderPerson
System -> OlderPerson: Provide Access

activate OlderPerson

OlderPerson -> System: View Training Performance
System -> TrainingDatabase: Retrieve Performance Data
TrainingDatabase --> System: Return Performance Data
System -> OlderPerson: Display Performance Data

deactivate OlderPerson

@enduml
",n,10,4,4,n,y,10,10,10,y
30,g02-federalspending.txt,federalspending,"As an Agency user, I want to be able to include a large number of flexfields without performance impact.","@startuml
actor AgencyUser
actor System
database FlexfieldsDatabase

AgencyUser -> System: Log In
System -> System: Authenticate AgencyUser
System -> AgencyUser: Provide Access

activate AgencyUser

AgencyUser -> System: Include Flexfields
System -> FlexfieldsDatabase: Retrieve Flexfields Configuration
FlexfieldsDatabase --> System: Return Flexfields Configuration
System -> System: Process Flexfields
System -> System: Apply Optimizations
System -> AgencyUser: Display Flexfields

deactivate AgencyUser

@enduml
",y,10,4,4,n,y,10,10,10,y
31,g13-planningpoker.txt,planningpoker,"As a moderator, I want to enter the agreed-upon estimate, so that we can move on to the next item when we agree.","@startuml
actor Moderator
actor System

Moderator -> System: Enter Agreed-Upon Estimate
System -> System: Record Estimate
System --> Moderator: Confirmation Message

@enduml
",y,10,9,9,y,y,10,10,10,y
32,g22-rdadmp.txt,rdadmp,"As a researcher, I want to record research publications in the institutional repository or CRIS with DMP records, so that I can generate reports of research output resulting from a project.","@startuml
actor Researcher
actor System
database Repository

Researcher -> System: Log In
System -> System: Authenticate Researcher
System -> Researcher: Provide Access

activate Researcher

Researcher -> System: Record Research Publication
System -> System: Validate and Process Data
System -> Repository: Save Publication Record
Repository --> System: Confirmation
System -> Researcher: Display Confirmation

Researcher -> System: Record DMP for Project
System -> System: Validate and Process DMP
System -> Repository: Link DMP to Project
Repository --> System: Confirmation
System -> Researcher: Display Confirmation

deactivate Researcher

@enduml
",y,10,8,6,y,y,10,9,9,y
33,g21-badcamp.txt,badcamp,"As a attendee, I want to get detailed directions to the summit venue, so that I can get to the summit easily on the day of the event.","@startuml
actor Attendee
actor System
database MapDatabase

Attendee -> System: Request Directions to Summit Venue
System -> MapDatabase: Retrieve Venue Details and Map
MapDatabase --> System: Return Venue Details and Map
System -> Attendee: Display Venue Details and Map

@enduml
",y,9,9,7,y,y,9,9,8,y
34,g21-badcamp.txt,badcamp,"As a sponsor, I want to post a job, so that I can hire top-tier Drupal talent.","@startuml
actor Sponsor
actor System
database JobDatabase

Sponsor -> System: Log In
System -> System: Authenticate Sponsor
System -> Sponsor: Provide Access

activate Sponsor

Sponsor -> System: Post Job
System -> System: Validate Job Posting
System -> JobDatabase: Save Job Posting
JobDatabase --> System: Confirmation
System -> Sponsor: Display Confirmation

deactivate Sponsor

@enduml
",y,9,7,6,y,y,8,7,6,n
35,g13-planningpoker.txt,planningpoker,"As a moderator, I want to export a transcript of a game as a CSV file, so that I can further process the stories and estimates.","@startuml
actor Moderator
actor System
database GameTranscript

Moderator -> System: Log In
System -> System: Authenticate Moderator
System -> Moderator: Provide Access

activate Moderator

Moderator -> System: Export Game Transcript as CSV
System -> GameTranscript: Retrieve Game Data
GameTranscript --> System: Return Game Data
System -> System: Convert Data to CSV
System -> Moderator: Provide CSV File for Download

deactivate Moderator

@enduml
",y,10,8,6,y,y,10,10,10,y
36,g26-racdam.txt,racdam,"As an archivist, I want to link electronic versions of researchers' publications to citations, so that I can share them with other researchers.","@startuml
actor Archivist
actor System
database CitationDatabase
database ElectronicVersionsDatabase

Archivist -> System: Log In
System -> System: Authenticate Archivist
System -> Archivist: Provide Access

activate Archivist

Archivist -> System: Link Electronic Version to Citation
System -> CitationDatabase: Retrieve Citation Details
CitationDatabase --> System: Return Citation Details
System -> ElectronicVersionsDatabase: Retrieve Electronic Version
ElectronicVersionsDatabase --> System: Return Electronic Version
System -> System: Associate Electronic Version with Citation
System -> Archivist: Display Linking Confirmation

deactivate Archivist

@enduml
",y,10,9,9,y,y,10,8,8,y
37,g16-mis.txt,mis,"As a repoadmin, I want to have Symplectic Elements to communicate","@startuml
actor RepoAdmin
actor SymplecticElements
database ResearchInformation

RepoAdmin -> SymplecticElements: Log In
SymplecticElements -> SymplecticElements: Authenticate RepoAdmin
SymplecticElements -> RepoAdmin: Provide Access

activate RepoAdmin

RepoAdmin -> SymplecticElements: Update Research Information
SymplecticElements -> SymplecticElements: Validate and Process Data
SymplecticElements -> ResearchInformation: Update Database
ResearchInformation --> SymplecticElements: Confirmation
SymplecticElements -> RepoAdmin: Display Update Confirmation

deactivate RepoAdmin

@enduml
",y,10,10,10,y,y,7,6,6,n
38,g22-rdadmp.txt,rdadmp,"As a researcher, I want the DMP to prepopulate information that I have already entered in other institutional systems, so that I do not have to re-enter information ensuring the DMP contains accurate and standardized information.","@startuml
actor Researcher
actor DMPSystem
database InstitutionalSystems

Researcher -> DMPSystem: Log In
DMPSystem -> DMPSystem: Authenticate Researcher
DMPSystem -> Researcher: Provide Access

activate Researcher

Researcher -> DMPSystem: Start New DMP
DMPSystem -> InstitutionalSystems: Retrieve Existing Information
InstitutionalSystems --> DMPSystem: Return Information
DMPSystem -> Researcher: Prepopulate DMP
Researcher -> DMPSystem: Complete DMP

deactivate Researcher

@enduml
",n,6,4,4,n,y,9,8,9,y
39,g19-alfred.txt,alfred,"As an OlderPerson, I want to have ALFRED to set limits in the games duration as I get bored easily.","@startuml
actor OlderPerson
actor ALFRED
database GameSettings

OlderPerson -> ALFRED: Request Game Duration Limit
ALFRED -> ALFRED: Validate Request
ALFRED -> GameSettings: Retrieve Current Game Settings
GameSettings --> ALFRED: Return Current Game Settings
ALFRED -> ALFRED: Set Game Duration Limit
ALFRED -> GameSettings: Update Game Duration Limit
GameSettings --> ALFRED: Confirmation

@enduml
",y,7,5,4,n,y,9,8,8,y
40,g25-duraspace.txt,duraspace,"As a DAMS manager, I want to indicate to preservation managers aspects of a master file useful for monitoring its integrity, and impending obsolescence, including file size, creation date, file format and format version.","@startuml
actor DAMSManager
actor PreservationManagers
database MasterFile

DAMSManager -> PreservationManagers: Notify Aspects of Master File
PreservationManagers -> DAMSManager: Acknowledge Notification

DAMSManager -> MasterFile: Retrieve Master File Information
MasterFile --> DAMSManager: Return Master File Information
DAMSManager -> PreservationManagers: Provide Master File Information

@enduml
",y,10,5,6,n,y,10,7,7,y
41,User Stories for Restaurant Management System.txt,Restaurant Management System,"As a manager, I want to save the menu each month.","@startuml
actor Manager
actor System
database MonthlyMenus

Manager -> System: Log In
System -> System: Authenticate Manager
System -> Manager: Provide Access

activate Manager

Manager -> System: Save Monthly Menu
System -> MonthlyMenus: Retrieve Current Menu
MonthlyMenus --> System: Return Current Menu
System -> MonthlyMenus: Save Menu for Current Month
MonthlyMenus --> System: Confirmation
System -> Manager: Display Save Confirmation

deactivate Manager

@enduml
",y,10,10,10,y,y,8,7,7,n
42,g23-archivesspace.txt,archivesspace,"As an Archivist, I want to upload an EAD for import from within the frontend application.","@startuml
actor Archivist
actor FrontendApplication
database ImportQueue

Archivist -> FrontendApplication: Log In
FrontendApplication -> FrontendApplication: Authenticate Archivist
FrontendApplication -> Archivist: Provide Access

activate Archivist

Archivist -> FrontendApplication: Upload EAD for Import
FrontendApplication -> FrontendApplication: Validate EAD Format
FrontendApplication -> ImportQueue: Enqueue EAD for Import
ImportQueue --> FrontendApplication: Confirmation
FrontendApplication -> Archivist: Display Import Confirmation

deactivate Archivist

@enduml
",n,6,7,6,n,y,10,9,8,y
43,g22-rdadmp.txt,rdadmp,"As a PI, I want to plan what kind of data I want to record/store, so that I can ensure it will possible to store it.","@startuml
actor PI
actor System
database DataPlanning

PI -> System: Log In
System -> System: Authenticate PI
System -> PI: Provide Access

activate PI

PI -> System: Plan Data Recording/Storage
System -> System: Record PI's Data Planning
System -> DataPlanning: Save Data Planning Details
DataPlanning --> System: Confirmation
System -> PI: Display Planning Confirmation

deactivate PI

@enduml
",n,4,3,3,n,y,10,10,10,y
44,User Stories for Library Management System.txt,Library Management System,"As a member, I want to remove reservations so that I can cancel my reservation anytime I want.","@startuml
actor Member
actor System
database ReservationDatabase

Member -> System: Log In
System -> System: Authenticate Member
System -> Member: Provide Access

activate Member

Member -> System: Remove Reservation
System -> ReservationDatabase: Retrieve Member's Reservations
ReservationDatabase --> System: Return Reservations
System -> Member: Display Current Reservations

deactivate Member

@enduml
",y,10,10,10,y,y,10,9,9,y
45,User Stories for Library Management System.txt,Library Management System,"As a librarian, I want to update pages for book information.","@startuml
actor Librarian
actor System
database BookDatabase

Librarian -> System: Log In
System -> System: Authenticate Librarian
System -> Librarian: Provide Access

activate Librarian

Librarian -> System: Update Pages for Book
System -> BookDatabase: Retrieve Book Information
BookDatabase --> System: Return Book Information
System -> Librarian: Display Current Book Information

Librarian -> System: Modify Page Information
System -> BookDatabase: Update Page Information
BookDatabase --> System: Confirmation
System -> Librarian: Display Update Confirmation

deactivate Librarian

@enduml
",y,10,10,10,y,y,10,10,10,y
46,g23-archivesspace.txt,archivesspace,"As a user, I want frontend changes for managing enum lists.","@startuml
actor User
actor Frontend
database EnumListConfiguration

User -> Frontend: Request Enum List Management Changes
Frontend -> Frontend: Authenticate User
Frontend -> User: Provide Access

activate User

User -> Frontend: Specify Enum List Changes
Frontend -> Frontend: Validate User Input
Frontend -> EnumListConfiguration: Retrieve Current Configuration
EnumListConfiguration --> Frontend: Return Current Configuration
Frontend -> Frontend: Apply User Changes
Frontend -> EnumListConfiguration: Update Configuration
EnumListConfiguration --> Frontend: Confirmation
Frontend -> User: Display Confirmation

deactivate User

@enduml
",n,5,4,3,n,y,10,10,10,y
47,g28-zooniverse.txt,zooniverse,"As an admin, I want to automatically validated the ingested contents for copyright infringement.","@startuml
actor Admin
actor System
database IngestedContent

Admin -> System: Log In
System -> System: Authenticate Admin
System -> Admin: Provide Access

activate Admin

Admin -> System: Initiate Copyright Validation
System -> IngestedContent: Retrieve Ingested Content
IngestedContent --> System: Return Ingested Content
System -> System: Validate for Copyright Infringement
System -> Admin: Display Validation Results

deactivate Admin

@enduml
",y,10,10,10,y,y,9,10,10,y
48,User Stories for Library Management System.txt,Library Management System,"As a manager, I want to delete library members.","@startuml
actor Manager
actor System
database LibraryMembersDatabase

Manager -> System: Log In
System -> System: Authenticate Manager
System -> Manager: Provide Access

activate Manager

Manager -> System: Delete Library Member
System -> LibraryMembersDatabase: Retrieve Member Information
LibraryMembersDatabase --> System: Return Member Information
System -> LibraryMembersDatabase: Delete Member Record
LibraryMembersDatabase --> System: Confirmation
System -> Manager: Display Deletion Confirmation

deactivate Manager

@enduml
",y,10,10,10,n,y,10,10,10,y
49,g04-recycling.txt,recycling,"As a user, I want to link my email account to my profile, so that I can get a temporary password in case I forget my own one.","@startuml
actor User
actor System
database UserProfile

User -> System: Log In
System -> System: Authenticate User
System -> User: Provide Access

activate User

User -> System: Link Email Account
System -> User: Provide Email Linking Interface
User -> System: Enter Email Credentials
System -> UserProfile: Link Email to User Profile
UserProfile --> System: Confirmation
System -> User: Display Linking Confirmation

deactivate User

@enduml
",y,10,8,7,y,y,10,10,10,y
50,User Stories for Restaurant Management System.txt,Restaurant Management System,"As a chef, I want to update the ingredients of the menu items.","@startuml
actor Chef
database MenuDatabase
participant IngredientUpdater

Chef -> IngredientUpdater: Request to update ingredients
IngredientUpdater --> MenuDatabase: Retrieve current menu item ingredients
MenuDatabase --> IngredientUpdater: Provide current ingredients
IngredientUpdater -> IngredientUpdater: Update ingredients
IngredientUpdater --> MenuDatabase: Save updated ingredients
MenuDatabase --> IngredientUpdater: Confirmation of ingredient update
IngredientUpdater --> Chef: Notify chef about successful update

@enduml
",y,10,10,10,y,y,10,10,10,y
