File Name,Project Name,Random Line
User Stories for Restaurant Management System.txt,Restaurant Management System,"As a cook, I want to mark items unavailable, so that Waiter can inform customers."
User Stories for Restaurant Management System.txt,Restaurant Management System,"As a management user, I want to see the arrival and departure times of the employees."
g23-archivesspace.txt,archivesspace,"As an Archivist, I want to create and edit Agent records."
g23-archivesspace.txt,archivesspace,"As an Archivist, I want to create and edit Event records."
g17-cask.txt,cask,"As an app developer, I want to share a dataset type that I had previously deployed as part of an app."
User Stories for Restaurant Management System.txt,Restaurant Management System,"As a manager, I want to keep track of resources available so that I can manage inventory."
g02-federalspending.txt,federalspending,"As an Owner, I want to design a schedule from the UI SME, so that I know the potential timeline of the UI improvements wanted."
g24-unibath.txt,unibath,"As a depositor, I want to specify a disposal policy for my data, so that I do not accidentally breach laws or collaboration agreements."
g28-zooniverse.txt,zooniverse,"As a Zooniverse admin, I want to know when I should educate a volunteer."
g16-mis.txt,mis,"As a repository manager, I want to see a display of recent errors deduplicated for easy comprehension like Symplectic Elements provides."
g22-rdadmp.txt,rdadmp,"As an ethics manager, I want to be informed about the data, so that I can check for sensitivity of data."
g25-duraspace.txt,duraspace,"As a repository manager, I want to indicate names related to the collection either as creator, source, or subject."
g27-culrepo.txt,culrepo,"As a patron, I want to email system provider to report issues and ask questions."
g26-racdam.txt,racdam,"As a researcher I want clear citation information on each document, so that I can cite accurately in a publication."
User Stories for Restaurant Management System.txt,Restaurant Management System,"As a manager, I want to track which employees sell the most number of products so that I can increase their salary.Â"
g14-datahub.txt,datahub,"As a Consumer, I want to load a Data Package from R, so that that I can immediately start playing with it."
User Stories for Library Management System.txt,Library Management System,"As a librarian, I want to add new books to book list."
g19-alfred.txt,alfred,"As an OlderPerson, I want to use ALFRED to control the TV and radio."
g03-loudoun.txt,loudoun,"As a Staff member, I want to Manage Bonds, so that I can track and manage bonds throughout the lifecycle of the project until release."
User Stories for Restaurant Management System.txt,Restaurant Management System,"As a chef, I want to update the allergy warnings of menu items."
User Stories for Restaurant Management System.txt,Restaurant Management System,"As an employee, I want to change orders of a table."
User Stories for Library Management System.txt,Library Management System,"As a library manager, I want to know which books are borrowed most so that I can bring the further copies of the books."
User Stories for Library Management System.txt,Library Management System,"As a librarian, I want to edit suggestion list."
g27-culrepo.txt,culrepo,"As a Cornell faculty member, I want to have some control over how items within my collection sort in collection contents lists, so that I can control how my work is presented."
g25-duraspace.txt,duraspace,"As a DAMS manager, I want to know when permitted and restricted acts and/or their active dates are modified."
User Stories for Restaurant Management System.txt,Restaurant Management System,"As a restaurant manager, I want to see weekly reports."
g18-neurohub.txt,neurohub,"As a user, I want to sync events created in NeuroHub with a web-based Calendar such as Google Calendar."
g11-nsf.txt,nsf,"As a team member, I want to know what visual design related tasks we might need to plan for this sprint, so that I can assign tasks as necessary."
g16-mis.txt,mis,"As a repoadmin, I want to have users to be presented with a license or a selection of licenses, specific to the collection, and deposit to be denied if the submitter does not accept the license."
User Stories for Restaurant Management System.txt,Restaurant Management System,"As an employee, I want to add a new information about myself to the my employee data"
User Stories for Library Management System.txt,Library Management System,"As a customer, I want to see the availability of books."
g13-planningpoker.txt,planningpoker,"As a user, I want to have nice error pages when something goes wrong, so that I can trust the system and its developers."
User Stories for Restaurant Management System.txt,Restaurant Management System,"As a restaurant manager, I want to create, monitor and delegate tasks to workers to increase labor management efficiency."
g27-culrepo.txt,culrepo,"As a DB/IR administrator, I want to see list of subscribers for specified report in order research missing report complaints."
User Stories for Library Management System.txt,Library Management System,"As a staff, I want to add books with unique id."
g16-mis.txt,mis,"As a DigitalRecords Archivist, I want to expose the descriptive record for each ETD item for re-use external to Fedora."
g26-racdam.txt,racdam,"As an archivist, I want to see what a particular user has downloaded, so that I can track use of assets."
g28-zooniverse.txt,zooniverse,"As a user, I want to take a picture or upload an image, so that I am recommended with videos related to that picture or image."
